playerId,nameFull,position,collegeId,college,heightInches,weight,ageAtDraft
20100700,Seyi Ajirotutu,WR,93740,Frenso State (CA),75.0,215.0,22
20100037,Nate Allen,S,33620,South Florida,73.0,214.0,22
20100010,Tyson Alualu,DT,94720,California,75.0,304.0,22
20100522,Jonathon Amaya,S,89557,Nevada,74.0,205.0,21
20100063,Pat Angerer,LB,52242,Iowa,72.0,236.0,23
20100050,Javier Arenas,DB,35487,Alabama,69.0,197.0,22
20100466,Alric Arnett,WR,26506,West Virginia,74.0,188.0,22
20100160,Larry Asante,DB,68588,Nebraska,73.0,210.0,22
20100120,Geno Atkins,DT,30602,Georgia,73.0,300.0,22
20100045,Zane Beadles,OG,84112,Utah,76.0,305.0,23
20100423,Joique Bell,RB,48202,Wayne State (MI),71.0,231.0,23
20100039,Arrelious Benn,WR,61801,Illinois,74.0,228.0,21
20100005,Eric Berry,S,37998,Tennessee,72.0,212.0,21
20100030,Jahvid Best,RB,94720,California,70.0,199.0,21
20100498,LeGarrette Blount,RB,97403,Oregon,72.0,250.0,23
20100642,Kyle Bosworth,LB,90095,UCLA,73.0,245.0,23
20100091,Navorro Bowman,LB,16802,Penn State,72.0,242.0,21
20100001,Sam Bradford,QB,73019,Oklahoma,76.0,224.0,22
20100191,Dezmon Briscoe,WR,66045,Kansas,74.0,210.0,20
20100421,Dorian Brooks,OL,22807,James Madison (VA),74.0,306.0,23
20100195,Antonio Brown,WR,48858,Central Michigan,70.0,181.0,21
20100064,Charles Brown,OT,90089,USC,77.0,300.0,23
20100528,Cornelius Brown,DB,79968,Texas-El Paso,71.0,198.0,22
20100541,Jarrett Brown,QB,26506,West Virginia,75.0,225.0,22
20100209,Levi Brown,QB,36082,Troy (AL),76.0,225.0,23
20100023,Bryan Bulaga,OT,52242,Iowa,77.0,314.0,21
20100071,Morgan Burnett,S,30332,Georgia Tech,73.0,209.0,21
20100164,Crezdon Butler,DB,29631,Clemson,73.0,191.0,22
20100079,Donald Butler,LB,98195,Washington,73.0,242.0,21
20100630,Jeff Byers,C,90089,USC,76.0,310.0,24
20100182,Nate Byham,TE,15260,Pittsburgh,76.0,264.0,21
20100216,Kyle Calloway,OG,52242,Iowa,79.0,315.0,22
20100106,Bruce Campbell,OL,20740,Maryland,78.0,320.0,21
20100452,Lee Campbell,LB,55455,Minnesota,74.0,247.0,21
20100239,Sean Canfield,QB,97331,Oregon State,76.0,223.0,23
20100231,Selvish Capers,OT,26506,West Virginia,77.0,315.0,24
20100072,Alex Carrington,DE,72401,Arkansas State,77.0,301.0,22
20100664,Brandon Carter,OG,79415,Texas Tech,78.0,319.0,23
20100604,Chris Chancellor,DB,29631,Clemson,69.0,180.0,23
20100133,Kam Chancellor,DB,24061,Virginia Tech,75.0,225.0,22
20100220,Jamar Chaney,LB,39762,Mississippi State,72.0,242.0,23
20100571,Barry Church,S,43606,Toledo,74.0,218.0,22
20100048,Jimmy Clausen,QB,46556,Notre Dame,74.0,210.0,22
20100121,Keenan Clayton,LB,73019,Oklahoma,73.0,230.0,22
20100057,Terrence Cody,DE,35487,Alabama,76.0,340.0,21
20100461,Justin Cole,LB,95192,San Jose State,75.0,242.0,22
20100415,Antonio Coleman,LB,36849,Auburn,73.0,254.0,23
20100665,Harry Coleman,LB,70803,Louisiana State,73.0,211.0,24
20100244,Kurt Coleman,S,43210,Ohio State,71.0,208.0,21
20100139,John Conner,RB,40506,Kentucky,71.0,245.0,22
20100240,Kavell Conner,LB,29631,Clemson,73.0,245.0,23
20100034,Chris Cook,DB,22904,Virginia,74.0,212.0,23
20100229,Erik Cook,C,87131,New Mexico,78.0,308.0,22
20100159,Riley Cooper,WR,32611,Florida,75.0,222.0,22
20100137,Perrish Cox,DB,74078,Oklahoma State,72.0,190.0,23
