playerId,draft,teamId,draftTeam,nameFull,position
20140019,2014,2700,MIA,Ja'Wuan James,OT
20140063,2014,2700,MIA,Jarvis Landry,WR
20140067,2014,2700,MIA,Billy Turner,OT
20140125,2014,2700,MIA,Walt Aikens,CB
20140155,2014,2700,MIA,Arthur Lynch,TE
20140171,2014,2700,MIA,Jordan Tripp,OLB
20140190,2014,2700,MIA,Matt Hazel,WR
20140234,2014,2700,MIA,Terrence Fede,DE
20150014,2015,2700,MIA,DeVante Parker,WR
20150052,2015,2700,MIA,Jordan Phillips,DT
20150114,2015,2700,MIA,Jamil Douglas,OL
20150145,2015,2700,MIA,Bobby McCain,CB
20150149,2015,2700,MIA,Jay Ajayi,RB
20150150,2015,2700,MIA,Cedric Thompson,FS
20150156,2015,2700,MIA,Tony Lippett,WR
20160013,2016,2700,MIA,Laremy Tunsil,OT
20160038,2016,2700,MIA,Xavien Howard,CB
20160073,2016,2700,MIA,Kenyan Drake,RB
20160086,2016,2700,MIA,Leonte Carroo,WR
20160186,2016,2700,MIA,Jakeem Grant,WR
20160204,2016,2700,MIA,Jordan Lucas,SS
20160223,2016,2700,MIA,Brandon Doughty,QB
20160231,2016,2700,MIA,Thomas Duarte,TE
20170022,2017,2700,MIA,Charles Harris,DE
20170054,2017,2700,MIA,Raekwon McMillan,LB
20170097,2017,2700,MIA,Cordrea Tankersley,CB
20170164,2017,2700,MIA,Isaac Asiata,OG
20170178,2017,2700,MIA,Davon Godchaux,DT
20170194,2017,2700,MIA,Vincent Taylor,DT
20170237,2017,2700,MIA,Isaiah Ford,WR
20180011,2018,2700,MIA,Minkah Fitzpatrick,S
20180042,2018,2700,MIA,Mike Gesicki,TE
20180073,2018,2700,MIA,Jerome Baker,LB
20180123,2018,2700,MIA,Durham Smythe,TE
20180131,2018,2700,MIA,Kalen Ballage,RB
20180209,2018,2700,MIA,Cornell Armstrong,DB
20180227,2018,2700,MIA,Quentin Poling,LB
20180229,2018,2700,MIA,Jason Sanders,K
20190013,2019,2700,MIA,Christian Wilkins,DT
20190078,2019,2700,MIA,Michael Deiter,OG
20190151,2019,2700,MIA,Andrew Van Ginkel,OLB
20190202,2019,2700,MIA,Isaiah Prince,OT
20190233,2019,2700,MIA,Chandler Cox,FB
20190234,2019,2700,MIA,Myles Gaskin,RB
