playerId,teamId,draftTradeValue
19770001,4900,3000.0
19770002,1200,2600.0
19770003,920,2200.0
19770004,3430,1800.0
19770005,3410,1700.0
19770006,200,1600.0
19770007,3300,1500.0
19770008,920,1400.0
19770009,1800,1350.0
19770010,2310,1300.0
19770011,2100,1250.0
19770012,610,1200.0
19770013,2700,1150.0
19770014,4600,1100.0
19770015,810,1050.0
19770016,3200,1000.0
19770017,1050,950.0
19770018,1400,900.0
19770019,2510,875.0
19770020,200,850.0
19770021,3900,800.0
19770022,920,780.0
19770023,2510,760.0
19770024,4400,740.0
19770025,3200,720.0
19770026,325,700.0
19770027,3000,680.0
19770028,1800,660.0
19770029,4900,640.0
19770030,4600,620.0
19770031,2510,600.0
19770032,3410,590.0
19770033,3430,580.0
19770034,3300,560.0
19770035,2520,550.0
19770036,200,540.0
19770037,2310,530.0
19770038,2100,520.0
19770039,1800,510.0
19770040,2700,500.0
19770041,4600,490.0
19770042,1540,480.0
19770043,810,470.0
19770044,3200,460.0
19770045,1400,450.0
19770046,1050,440.0
19770047,2510,430.0
19770048,3900,420.0
19770049,920,410.0
19770050,2510,400.0
19770051,4600,390.0
19770052,3200,380.0
19770053,325,370.0
19770054,1200,360.0
19770055,3000,350.0
19770056,4900,340.0
19770057,2520,330.0
19770058,4600,320.0
19770059,610,310.0
19770060,3900,300.0
19770061,810,292.0
19770062,1200,284.0
19770063,200,276.0
19770064,3300,270.0
19770065,4500,265.0
19770066,2100,260.0
19770067,2310,255.0
19770068,2510,250.0
19770069,1540,245.0
19770070,2100,240.0
19770071,2700,235.0
19770072,3430,230.0
19770073,610,225.0
19770074,1800,220.0
19770075,3900,215.0
19770076,920,210.0
19770077,4400,205.0
19770078,2510,200.0
19770079,2510,195.0
19770080,2510,190.0
19770081,1200,185.0
19770082,3200,180.0
19770083,3000,175.0
19770084,2100,170.0
19770085,920,165.0
19770086,610,160.0
19770087,4600,155.0
19770088,3410,150.0
19770089,200,145.0
19770090,3430,140.0
19770091,2510,136.0
19770092,2310,132.0
19770093,3900,128.0
19770094,2310,124.0
19770095,2310,120.0
19770096,1540,116.0
19770097,5110,112.0
19770098,2100,108.0
19770099,3900,104.0
19770100,4500,100.0
19770101,1400,96.0
19770102,1050,92.0
19770103,920,88.0
19770104,2310,86.0
19770105,920,84.0
19770106,3900,82.0
19770107,2510,80.0
19770108,1200,78.0
19770109,3200,76.0
19770110,1050,74.0
19770111,4600,72.0
19770112,2520,70.0
19770113,2700,68.0
19770114,1540,66.0
19770115,610,64.0
19770116,3430,62.0
19770117,3410,60.0
19770118,3300,58.0
19770119,3700,56.0
19770120,200,54.0
19770121,3900,52.0
19770122,1800,50.0
19770123,2700,49.0
19770124,4400,48.0
19770125,3900,47.0
19770126,2520,46.0
19770127,610,45.0
19770128,4400,44.0
19770129,3430,43.0
19770130,2510,42.0
19770131,2510,41.0
19770132,3900,40.0
19770133,920,39.5
19770134,2510,39.0
19770135,2510,38.5
19770136,3300,38.0
19770137,1200,37.5
19770138,3000,37.0
19770139,2520,36.5
19770140,810,36.0
19770141,4500,35.5
19770142,4600,35.0
19770143,3410,34.5
19770144,3430,34.0
19770145,3700,33.5
19770146,4400,33.0
19770147,3300,32.6
19770148,2100,32.2
19770149,1800,31.8
19770150,2310,31.4
19770151,4400,31.0
19770152,4400,30.6
19770153,3410,30.2
19770154,3700,29.8
19770155,4500,29.4
19770156,2510,29.0
19770157,610,28.6
19770158,3700,28.2
19770159,3900,27.8
19770160,920,27.4
19770161,200,27.0
19770162,3300,26.6
19770163,325,26.2
19770164,1200,25.8
19770165,2100,25.4
19770166,1540,25.0
19770167,2310,24.6
19770168,3430,24.2
19770169,4600,23.8
19770170,610,23.4
19770171,3430,23.0
19770172,1800,22.6
19770173,1050,22.2
19770174,3300,21.8
19770175,3700,21.4
19770176,1800,21.0
19770177,2310,20.6
19770178,3410,20.2
19770179,1540,19.8
19770180,2700,19.4
19770181,4400,19.0
19770182,810,18.6
19770183,4500,18.2
19770184,1050,17.8
19770185,1400,17.4
19770186,3900,17.0
19770187,920,16.6
19770188,1050,16.2
19770189,5110,15.8
19770190,2520,15.4
19770191,1200,15.0
19770192,3200,14.6
19770193,325,14.2
19770194,920,13.8
19770195,3430,13.4
19770196,4900,13.0
19770197,610,12.6
19770198,2100,12.2
19770199,3410,11.8
19770200,3430,11.4
19770201,3300,11.0
19770202,3700,10.6
19770203,200,10.2
19770204,2310,9.8
19770205,2100,9.4
19770206,1800,9.0
19770207,2700,8.6
19770208,1200,8.2
19770209,1540,7.8
19770210,3430,7.4
19770211,3410,7.0
19770212,1400,6.6
19770213,1050,6.2
19770214,920,5.8
19770215,2310,5.4
19770216,2510,5.0
19770217,3900,4.6
19770218,2510,4.2
19770219,3200,3.8
19770220,325,3.4
19770221,1200,3.0
19770222,3000,2.6
19770223,2520,2.3
19770224,4900,2.0
19770225,4600,1.96
19770226,2310,1.92
19770227,3430,1.88
19770228,3410,1.84
19770229,3700,1.8
19770230,200,1.76
19770231,3300,1.72
19770232,2100,1.68
19770233,1800,1.64
19770234,4400,1.6
19770235,2310,1.56
19770236,1540,1.52
19770237,2700,1.48
19770238,810,1.44
19770239,4500,1.4
19770240,1050,1.36
19770241,1400,1.32
19770242,200,1.28
19770243,2510,1.24
19770244,3900,1.2
19770245,920,1.16
19770246,5110,1.12
19770247,325,1.08
19770248,1200,1.04
19770249,3200,1.0
19770250,3000,0.96
19770251,4900,0.92
19770252,4900,0.88
19770253,3900,0.84
19770254,4600,0.8
19770255,3410,0.76
19770256,3430,0.72
19770257,200,0.68
19770258,3300,0.64
19770259,3700,0.6
19770260,1800,0.56
19770261,2310,0.52
19770262,2100,0.48
19770263,1540,0.44
19770264,2700,0.4
19770265,4400,0.36
19770266,810,0.32
19770267,4900,0.28
19770268,1400,0.24
19770269,1050,0.2
19770270,2510,0.16
19770271,3900,0.12
19770272,920,0.08
19770273,5110,0.0
19770274,2510,0.0
19770275,1200,0.0
19770276,3200,0.0
19770277,325,0.0
19770278,3000,0.0
19770279,3200,0.0
19770280,4900,0.0
19770281,4600,0.0
19770282,610,0.0
19770283,3700,0.0
19770284,3410,0.0
19770285,3300,0.0
19770286,3700,0.0
19770287,200,0.0
19770288,2310,0.0
