playId,teamId,playerId,sackPosition,sackType,sackYards,sackNull
10000138,920,20140088,DE,1,-5,0
10000209,3800,20130103,LB,1,-2,0
10000246,3800,20130103,LB,1,-7,0
10000291,3800,20060091,DE,1,-5,0
10000301,3800,20090092,CB,1,-5,0
10000314,2120,20110011,DE,1,-7,0
10000412,2120,20110199,NT,1,-6,0
10000414,2120,20120849,SS,1,-10,0
10000462,3800,20110603,LB,1,-8,0
10000514,2310,20110070,LB,1,-6,0
10000526,3800,20080050,DE,1,-8,0
10000551,3800,20060091,DE,1,-6,0
10000567,3800,20110005,CB,1,0,0
10000572,2310,20110070,LB,1,-8,0
10000587,3800,20060091,DE,1,-2,0
10000601,3800,20130103,LB,1,-13,0
10000632,3800,20080050,DE,1,-4,0
10000637,2510,20110014,DE,1,-4,0
10000659,2510,20130071,S,1,-8,0
10000678,3800,20140027,S,1,-5,0
10000733,3800,20080050,DE,1,-11,0
10000745,2510,20120007,S,1,-7,0
10000773,3800,20140084,DE,1,-8,0
10000784,3800,20090594,LB,1,-10,0
10000785,3800,20130103,LB,1,-4,0
10001046,4400,20110018,DE,1,-6,0
10001089,4400,20140050,OLB,1,-4,0
10001226,4600,20100130,LB,1,-10,0
10001269,4600,20130087,DT,1,-6,0
10001276,3800,20130103,LB,1,-10,0
10001310,4600,20090496,DE,1,-7,0
10001322,4600,20130239,DE,1,-6,0
10001462,3800,20130757,S,1,-9,0
10001539,3800,20050645,LB,1,-3,0
10001695,750,20140060,DE,1,-6,0
10001703,750,20070083,DE,1,-5,0
10001725,750,20130738,DE,1,-6,0
10001735,200,20130415,LB,1,-2,0
10001772,750,20130014,DT,1,-4,0
10001775,750,20130014,DT,1,-5,0
10001814,200,20120164,DE,1,-5,0
10001842,810,20110053,DT,1,-8,0
10001865,200,20100249,CB,1,-1,0
10001931,810,20040126,DE,1,-4,0
10001944,810,20100213,DE,1,-9,0
10001951,810,20100213,DE,1,-5,0
10001999,1050,20080190,DL,1,-6,0
10002013,1050,20090057,LB,1,-3,0
10002062,200,20080154,DE,1,-9,0
10002070,1050,20090057,LB,1,-12,0
10002230,1540,20080054,DE,1,-5,0
10002258,1540,20130005,DE,1,-10,0
10002429,200,20140139,LB,1,-9,0
10002601,3300,20120680,DE,1,-3,0
10002671,200,20070108,DT,1,-7,0
10002856,200,20120164,DE,1,-8,0
10002868,200,20100083,DT,1,-7,0
10002953,200,20130153,DE,1,-11,0
10002985,200,20130435,LB,1,-7,0
10002996,2100,20090115,DL,1,-5,0
10003004,200,20130060,CB,1,-9,0
10003057,2100,20110077,DL,1,-7,0
10003077,200,20140037,DE,1,-7,0
10003155,325,20110165,OLB,1,-8,0
10003177,200,20130435,LB,1,-10,0
10003181,325,20110165,OLB,1,-9,0
10003199,325,20060126,OLB,1,-8,0
10003222,325,20060126,OLB,1,-12,0
10003271,325,20030010,OLB,1,-5,0
10003365,325,20060126,OLB,1,-8,0
10003536,920,20100054,DE,1,-4,0
